Rank,Symbol,Alpha,Beta,AlphaDaily
1,AJANTPHARM,1.196987,0.658,0.00474995
2,PAGEIND,0.9554,0.3009,0.00379127
3,BRITANNIA,0.933068,0.5765,0.00370265
4,WHIRLPOOL,0.86896,0.9733,0.00344825
5,EICHERMOT,0.834053,0.9233,0.00330973
6,EMAMILTD,0.829332,0.4277,0.003291
7,SYMPHONY,0.794368,1.3664,0.00315225
8,SOLARINDS,0.780876,0.8732,0.00309871
9,ZFCVINDIA,0.777253,0.7153,0.00308434
10,GILLETTE,0.776816,0.4673,0.0030826
11,PIIND,0.762087,0.6957,0.00302416
12,INDUSTOWER,0.684456,0.2801,0.0027161
13,SPARC,0.674467,1.3622,0.00267646
14,BHARATFORG,0.66258,1.107,0.00262929
15,BAJFINANCE,0.657637,0.7536,0.00260967
16,AMARAJABAT,0.650725,0.6948,0.00258224
17,MINDTREE,0.6225,0.4796,0.00247024
18,BEL,0.599613,1.2267,0.00237941
19,BAJAJCON,0.59451,0.6987,0.00235917
20,MARICO,0.588356,0.3108,0.00233474
