Rank,Symbol,Alpha,Beta,AlphaDaily
1,JSWENERGY,1.408916,1.1724,0.00559094
2,ATGL,1.12366,1.1355,0.00445897
3,ADANIENSOL,0.915251,0.9357,0.00363195
4,TATAELXSI,0.746941,0.8814,0.00296405
5,PERSISTENT,0.734825,1.0136,0.00291597
6,IRCTC,0.679242,1.676,0.0026954
7,NATIONALUM,0.655596,1.9279,0.00260157
8,MINDTREE,0.649303,1.1863,0.0025766
9,LINDEINDIA,0.638614,0.6916,0.00253418
10,TATAPOWER,0.635923,1.8922,0.0025235
11,SRF,0.580169,1.2652,0.00230226
12,OIL,0.556938,0.7669,0.00221007
13,SOLARINDS,0.534282,0.9313,0.00212016
14,VEDL,0.529416,1.3492,0.00210086
15,MAXHEALTH,0.518317,0.6714,0.00205681
16,MPHASIS,0.487221,0.9586,0.00193342
17,SCHAEFFLER,0.479377,0.593,0.00190229
18,ADANIGREEN,0.478138,0.8877,0.00189737
19,POLYCAB,0.448936,0.9526,0.00178149
20,COFORGE,0.428276,1.0616,0.00169951
