Rank,Symbol,Alpha,Beta,AlphaDaily
1,INDIANB,0.823596,2.0073,0.00326824
2,MOTILALOFS,0.773841,1.8551,0.0030708
3,BALKRISIND,0.703977,0.5691,0.00279356
4,VAKRANGEE,0.642757,0.3069,0.00255062
5,VEDL,0.636677,1.9908,0.00252649
6,NATCOPHARM,0.5904,0.4942,0.00234286
7,RECLTD,0.576406,1.4996,0.00228732
8,IIFL,0.549525,1.4682,0.00218066
9,BAJAJFINSV,0.517066,1.1231,0.00205185
10,MRF,0.433115,1.0901,0.00171871
11,HINDPETRO,0.430305,1.5468,0.00170756
12,MRPL,0.42975,1.2855,0.00170536
13,IOC,0.427442,1.1552,0.0016962
14,EDELWEISS,0.426009,2.215,0.00169051
15,HINDALCO,0.416591,1.6034,0.00165314
16,PEL,0.396891,1.0739,0.00157496
17,CUB,0.392513,0.7177,0.00155759
18,IGL,0.38618,0.7576,0.00153246
19,TVSMOTOR,0.37116,0.8241,0.00147286
20,FEDERALBNK,0.356844,1.6768,0.00141605
