Rank,Symbol,Alpha,Beta,AlphaDaily
1,BSE,1.135619,1.6324,0.00450642
2,PAYTM,0.90848,1.5115,0.00360508
3,LLOYDSME,0.684559,1.5923,0.0027165
4,FORTIS,0.622764,0.7996,0.00247129
5,POWERINDIA,0.611631,1.3671,0.00242711
6,BHARTIHEXA,0.556184,0.6099,0.00220708
7,GVT&D,0.521534,1.0637,0.00206958
8,MFSL,0.508629,0.629,0.00201837
9,JKCEMENT,0.501867,0.7102,0.00199154
10,MOTILALOFS,0.443182,1.8619,0.00175866
11,COFORGE,0.427301,1.0062,0.00169564
12,GODREJIND,0.422487,0.9858,0.00167653
13,SOLARINDS,0.407463,0.9842,0.00161692
14,MUTHOOTFIN,0.404778,0.6166,0.00160626
15,MAXHEALTH,0.404194,0.8582,0.00160395
16,BAJAJHLDNG,0.39167,0.8177,0.00155425
17,INDIGO,0.387805,0.8584,0.00153891
18,COROMANDEL,0.383536,0.9814,0.00152197
19,DIXON,0.371354,1.42,0.00147363
20,MAZDOCK,0.352814,1.5938,0.00140005
