Rank,Symbol,Alpha,Beta,AlphaDaily
1,BSE,1.020921,1.4058,0.00405128
2,PAYTM,0.793474,1.1612,0.00314871
3,MAZDOCK,0.787439,2.0286,0.00312476
4,DIXON,0.746344,1.5581,0.00296168
5,LLOYDSME,0.742978,1.3171,0.00294832
6,POWERINDIA,0.732247,1.4969,0.00290574
7,VEDL,0.563673,1.3637,0.0022368
8,COCHINSHIP,0.52536,1.8754,0.00208476
9,MUTHOOTFIN,0.500795,0.7651,0.00198728
10,POLICYBZR,0.4959,1.0391,0.00196786
11,DIVISLAB,0.441033,0.6295,0.00175013
12,COROMANDEL,0.437133,0.8901,0.00173465
13,INDUSTOWER,0.426166,1.3742,0.00169114
14,RVNL,0.407166,1.9303,0.00161574
15,ETERNAL,0.396001,0.9017,0.00157143
16,HINDZINC,0.38569,1.0359,0.00153052
17,GODREJIND,0.379236,0.7709,0.0015049
18,M&M,0.370093,0.8866,0.00146862
19,INDIGO,0.368789,0.9088,0.00146345
20,BHARTIARTL,0.359435,0.493,0.00142633
