Rank,Symbol,Alpha,Beta,AlphaDaily
1,ESSAROIL,1.879359,2.1586,0.00745778
2,RNRL,1.120998,2.0977,0.0044484
3,JINDALSTEL,1.114595,1.7773,0.004423
4,HINDPETRO,1.009416,2.367,0.00400562
5,CHAMBLFERT,0.874908,2.1572,0.00347186
6,GLENMARK,0.743471,0.7637,0.00295028
7,VEDL,0.718201,1.3809,0.00285001
8,BALRAMCHIN,0.702061,1.5131,0.00278596
9,SHRIRAMFIN,0.694079,0.6264,0.00275428
10,LICHSGFIN,0.684394,1.4155,0.00271585
11,BPCL,0.66733,1.4104,0.00264814
12,MRPL,0.655573,1.7369,0.00260148
13,NLCINDIA,0.629925,1.9229,0.0024997
14,HUBTOWN,0.625872,1.0194,0.00248362
15,BAJAJHIND,0.621531,1.6806,0.00246639
16,JSWISPAT,0.609022,1.9285,0.00241675
17,NATIONALUM,0.606106,0.7018,0.00240518
18,TATAPOWER,0.593897,1.3112,0.00235673
19,CAIRN,0.53336,0.7573,0.00211651
20,ROLTA,0.525942,1.0765,0.00208707
