Rank,Symbol,Alpha,Beta,AlphaDaily
1,TTML,1.36124,1.1841,0.00540174
2,ADANIENSOL,1.000136,1.0764,0.0039688
3,ATGL,0.962121,1.2805,0.00381794
4,CGPOWER,0.952565,0.9014,0.00378002
5,ADANIGREEN,0.829094,0.9157,0.00329006
6,SCHAEFFLER,0.768709,0.6712,0.00305043
7,INDHOTEL,0.684879,1.3368,0.00271777
8,SOLARINDS,0.646729,0.7406,0.00256639
9,ABB,0.639256,0.666,0.00253673
10,TVSMOTOR,0.610564,0.861,0.00242287
11,FLUOROCHEM,0.603785,1.2773,0.00239597
12,TATAELXSI,0.566733,1.0488,0.00224894
13,VBL,0.560306,0.8333,0.00222344
14,TRIDENT,0.557543,1.035,0.00221247
15,TIINDIA,0.557205,0.7873,0.00221113
16,THERMAX,0.542365,0.7034,0.00215224
17,GRINDWELL,0.512978,0.8372,0.00203563
18,HAL,0.491547,0.9874,0.00195058
19,TATAPOWER,0.49138,1.7379,0.00194992
20,SKFINDIA,0.485075,0.8476,0.0019249
