Rank,Symbol,Alpha,Beta,AlphaDaily
1,UNITDSPR,1.37215,1.1678,0.00544504
2,WOCKPHARMA,1.291512,0.6707,0.00512505
3,BERGEPAINT,0.646653,0.5922,0.00256608
4,JETAIRWAYS,0.603364,1.4337,0.0023943
5,ZEEL,0.578589,0.7595,0.00229599
6,SHRIRAMCIT,0.547609,0.462,0.00217305
7,PRESTIGE,0.544127,1.1336,0.00215923
8,GITANJALI,0.543637,0.4856,0.00215729
9,GSKCONS,0.531922,0.1701,0.0021108
10,PIDILITIND,0.524723,0.5596,0.00208223
11,GODREJCP,0.519721,0.1043,0.00206239
12,HCLTECH,0.515359,0.6575,0.00204508
13,LTF,0.512721,1.0786,0.00203461
14,RAMCOCEM,0.507836,0.5703,0.00201522
15,BAJFINANCE,0.497936,1.1095,0.00197594
16,ASIANPAINT,0.491067,0.599,0.00194868
17,ESSAROIL,0.488214,1.9371,0.00193736
18,MOTHERSON,0.479548,0.4855,0.00190297
19,IPCALAB,0.47935,0.3997,0.00190218
20,WELSPUNIND,0.476024,0.4033,0.00188898
