Rank,Symbol,Alpha,Beta,AlphaDaily
1,VEDL,0.893651,3.3209,0.00354623
2,VAKRANGEE,0.754846,0.7171,0.00299542
3,INDIANB,0.683017,1.5758,0.00271038
4,HINDALCO,0.664191,1.8463,0.00263568
5,BIOCON,0.629592,0.8112,0.00249838
6,JSWSTEEL,0.611786,0.8394,0.00242772
7,HINDPETRO,0.584741,1.3678,0.0023204
8,MUTHOOTFIN,0.569394,0.8494,0.0022595
9,PETRONET,0.532245,0.964,0.00211208
10,IGL,0.508488,0.7567,0.00201781
11,MRPL,0.475524,1.1309,0.001887
12,TATASTEEL,0.459266,1.6365,0.00182248
13,EDELWEISS,0.45345,1.7156,0.00179941
14,CUB,0.452527,0.6201,0.00179574
15,BAJFINANCE,0.410832,1.1443,0.00163028
16,SYNGENE,0.396241,0.9269,0.00157239
17,HINDZINC,0.391596,1.0947,0.00155395
18,BPCL,0.388629,0.7871,0.00154218
19,CAIRN,0.38005,1.5055,0.00150814
20,VTL,0.365912,0.8016,0.00145203
