Rank,Symbol,Alpha,Beta,AlphaDaily
1,HDFCAMC,0.869632,1.1341,0.00345092
2,ABBOTINDIA,0.82949,0.6384,0.00329163
3,GUJENERGY,0.797338,0.7046,0.00316404
4,ISEC,0.752823,1.2025,0.00298739
5,TRENT,0.679631,0.861,0.00269695
6,TATACONSUM,0.662296,1.0764,0.00262816
7,RELAXO,0.634954,0.6225,0.00251966
8,BHARTIARTL,0.620352,0.7323,0.00246172
9,SRF,0.61959,1.0776,0.00245869
10,BERGEPAINT,0.593344,0.7669,0.00235454
11,IPCALAB,0.587038,0.5703,0.00232951
12,DMART,0.554992,0.861,0.00220235
13,BAJFINANCE,0.545845,1.3687,0.00216605
14,LALPATHLAB,0.524698,0.5708,0.00208214
15,VBL,0.486343,0.6371,0.00192993
16,PRESTIGE,0.484926,1.7097,0.00192431
17,HONAUT,0.482071,0.9791,0.00191298
18,AUBANK,0.475764,1.0494,0.00188795
19,ADANIENSOL,0.467501,1.1111,0.00185516
20,IGL,0.46663,0.9329,0.00185171
