Rank,Symbol,Alpha,Beta,AlphaDaily
1,HINDPETRO,1.918925,1.7324,0.00761478
2,CHAMBLFERT,1.031046,1.7037,0.00409145
3,HUBTOWN,0.979405,0.8946,0.00388653
4,EDUCOMP,0.82854,1.5705,0.00328786
5,TATACOMM,0.817809,1.0039,0.00324527
6,BPCL,0.780413,1.0599,0.00309688
7,LICHSGFIN,0.759695,1.3115,0.00301466
8,MATRIXLABS,0.73446,1.189,0.00291452
9,BANKINDIA,0.70059,1.2247,0.00278012
10,HEROMOTOCO,0.690321,0.388,0.00273937
11,MPHASIS,0.683453,0.8837,0.00271211
12,JPASSOCIAT,0.664962,2.133,0.00263874
13,LUPIN,0.646417,0.5799,0.00256515
14,UNIONBANK,0.636578,0.9117,0.0025261
15,RELINFRA,0.622222,1.9312,0.00246913
16,GMRAIRPORT,0.620083,1.4547,0.00246064
17,CAIRN,0.604156,1.0879,0.00239745
18,PNB,0.597853,1.0203,0.00237243
19,VEDL,0.596572,1.4428,0.00236735
20,NLCINDIA,0.561359,1.3911,0.00222762
