Rank,Symbol,Alpha,Beta,AlphaDaily
1,ATGL,1.429062,1.3993,0.00567088
2,JSWENERGY,1.277052,1.1145,0.00506766
3,ADANIENSOL,1.199583,1.3131,0.00476025
4,TATAELXSI,1.080226,0.7122,0.00428661
5,MAXHEALTH,0.746457,0.7883,0.00296213
6,MINDTREE,0.712565,0.8477,0.00282764
7,PERSISTENT,0.711377,0.7476,0.00282293
8,LINDEINDIA,0.683624,0.9126,0.00271279
9,POLYCAB,0.645372,0.7391,0.002561
10,TIINDIA,0.611553,0.5803,0.0024268
11,IRCTC,0.571408,1.3182,0.00226749
12,MPHASIS,0.54365,0.5969,0.00215734
13,ALKYLAMINE,0.538109,1.1441,0.00213535
14,DIXON,0.529696,0.9965,0.00210197
15,APLAPOLLO,0.529213,1.1151,0.00210005
16,BAJAJFINSV,0.520813,1.1497,0.00206672
17,LTTS,0.506244,0.9178,0.0020089
18,KAJARIACER,0.471599,0.6963,0.00187143
19,DMART,0.466727,0.6877,0.00185209
20,SCHAEFFLER,0.460777,0.5556,0.00182848
