Rank,Symbol,Alpha,Beta,AlphaDaily
1,WOCKPHARMA,1.226212,0.8572,0.00486592
2,SHREECEM,0.728438,0.4822,0.00289063
3,WELSPUNIND,0.606846,0.5572,0.00240812
4,IPCALAB,0.605709,0.4577,0.00240361
5,UBL,0.584257,0.6121,0.00231848
6,ZEEL,0.515603,0.6828,0.00204604
7,HINDUNILVR,0.496105,0.2468,0.00196867
8,ULTRACEMCO,0.490539,0.6029,0.00194658
9,HAVELLS,0.473023,1.0532,0.00187708
10,GODREJCP,0.47182,0.1944,0.0018723
11,TMPV,0.46892,1.5017,0.00186079
12,BAJAJFINSV,0.465458,0.8104,0.00184705
13,UNITDSPR,0.457466,1.3771,0.00181534
14,SUNDARMFIN,0.4401,0.3156,0.00174643
15,OFSS,0.429125,0.6404,0.00170288
16,SOBHA,0.427148,1.0867,0.00169503
17,JUBLFOOD,0.424001,1.1474,0.00168254
18,PRESTIGE,0.406752,1.0905,0.00161409
19,TECHM,0.398927,0.793,0.00158304
20,APOLLOTYRE,0.396533,1.2458,0.00157354
