Rank,Symbol,Alpha,Beta,AlphaDaily
1,CGPOWER,0.56106,0.788,0.00222643
2,TIINDIA,0.556124,0.7533,0.00220684
3,IDFCFIRSTB,0.516693,1.8125,0.00205037
4,VBL,0.513506,1.2318,0.00203772
5,SUPREMEIND,0.489127,0.8373,0.00194098
6,APOLLOTYRE,0.478523,1.3248,0.0018989
7,HAL,0.474477,1.2437,0.00188285
8,PFC,0.459059,1.3994,0.00182166
9,ZFCVINDIA,0.435755,0.4163,0.00172919
10,ITC,0.4323,0.5468,0.00171548
11,SUNDRMFAST,0.424474,0.6268,0.00168442
12,MAXHEALTH,0.404312,0.4399,0.00160441
13,UNIONBANK,0.403401,1.9688,0.0016008
14,ABB,0.398996,1.1967,0.00158332
15,CUMMINSIND,0.398029,1.0382,0.00157948
16,INDIANB,0.392627,1.4904,0.00155804
17,CHOLAFIN,0.387184,1.1759,0.00153644
18,ABCAPITAL,0.385841,1.6771,0.00153112
19,METROBRAND,0.373692,0.9341,0.00148291
20,BANKBARODA,0.363218,1.6771,0.00144134
