Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIGREEN,2.326707,0.8222,0.00923296
2,ISEC,0.978735,1.2843,0.00388387
3,ESCORTS,0.790982,1.4838,0.00313882
4,APLLTD,0.744485,0.8319,0.00295431
5,IDEA,0.741207,1.4463,0.0029413
6,GUJENERGY,0.739278,0.8156,0.00293364
7,MUTHOOTFIN,0.709066,1.3051,0.00281376
8,BAYERCROP,0.682745,0.6502,0.00270931
9,ABBOTINDIA,0.676071,0.6485,0.00268282
10,COROMANDEL,0.656624,0.6833,0.00260565
11,IPCALAB,0.634607,0.3595,0.00251828
12,BALKRISIND,0.62806,1.1741,0.0024923
13,DMART,0.617643,0.7608,0.00245096
14,BHARTIARTL,0.590856,0.7927,0.00234467
15,IDBI,0.545238,1.3715,0.00216364
16,BERGEPAINT,0.537912,0.8178,0.00213457
17,TRENT,0.524039,1.2863,0.00207952
18,TATACONSUM,0.517836,1.1,0.0020549
19,BIOCON,0.516834,0.6769,0.00205093
20,JUBLPHARMA,0.516186,1.1252,0.00204836
