Rank,Symbol,Alpha,Beta,AlphaDaily
1,VBL,0.790743,0.8601,0.00313787
2,HAL,0.688776,1.0837,0.00273324
3,CGPOWER,0.672078,0.9101,0.00266698
4,INDIANB,0.669598,1.3822,0.00265714
5,SOLARINDS,0.621158,0.6977,0.00246491
6,SCHAEFFLER,0.585202,0.6638,0.00232223
7,M&MFIN,0.569746,1.4571,0.00226089
8,ITC,0.55352,0.5357,0.00219651
9,TVSMOTOR,0.540201,0.9564,0.00214365
10,UNIONBANK,0.527812,1.6115,0.00209449
11,CUMMINSIND,0.523094,0.8677,0.00207577
12,INDHOTEL,0.491881,1.0778,0.00195191
13,APLAPOLLO,0.473155,1.0464,0.0018776
14,M&M,0.470778,1.0856,0.00186817
15,TIINDIA,0.45568,0.8019,0.00180825
16,BANKBARODA,0.452251,1.5824,0.00179465
17,AIAENG,0.445621,0.6001,0.00176834
18,ABB,0.413657,0.877,0.0016415
19,LINDEINDIA,0.399744,0.8255,0.00158629
20,JINDALSTEL,0.391052,1.4989,0.00155179
