Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIGREEN,1.751884,0.7555,0.00695192
2,IDEA,1.487165,1.3292,0.00590145
3,TATACOMM,0.959723,0.5834,0.00380843
4,ATGL,0.902508,1.2341,0.00358138
5,ADANIENSOL,0.759511,0.9548,0.00301393
6,TIINDIA,0.656946,0.8001,0.00260693
7,MPHASIS,0.540164,0.737,0.00214351
8,DHANI,0.538562,0.9114,0.00213715
9,NAVINFLUOR,0.518973,0.9373,0.00205942
10,CIPLA,0.494825,0.5792,0.00196359
11,JKCEMENT,0.492475,0.7569,0.00195426
12,LTM,0.483253,0.8867,0.00191767
13,SYNGENE,0.471109,0.6598,0.00186948
14,HAVELLS,0.46152,0.8031,0.00183143
15,TMPV,0.426936,1.6311,0.00169419
16,NAUKRI,0.402693,1.06,0.00159799
17,EMAMILTD,0.392289,0.8535,0.0015567
18,GUJENERGY,0.385407,0.8031,0.00152939
19,ASTRAL,0.375628,1.0352,0.00149059
20,WIPRO,0.371311,0.7528,0.00147346
