Rank,Symbol,Alpha,Beta,AlphaDaily
1,HINDPETRO,2.359471,2.0347,0.00936298
2,CHAMBLFERT,1.358775,1.9396,0.00539197
3,BPCL,0.944625,1.1073,0.00374851
4,LICHSGFIN,0.944329,1.3615,0.00374734
5,EDUCOMP,0.851711,1.4748,0.00337981
6,RNRL,0.824992,1.8473,0.00327378
7,BANKINDIA,0.786978,1.046,0.00312293
8,CAIRN,0.743575,1.0276,0.00295069
9,HINDUNILVR,0.739172,0.5318,0.00293322
10,UNIONBANK,0.704592,0.9971,0.002796
11,BALRAMCHIN,0.674427,1.3891,0.0026763
12,PNB,0.648234,0.9656,0.00257236
13,AXISBANK,0.630078,1.2956,0.00250031
14,TATACOMM,0.604125,0.9396,0.00239732
15,HEROMOTOCO,0.561839,0.4177,0.00222952
16,ESSAROIL,0.551664,1.8487,0.00218914
17,HDFC,0.550966,1.062,0.00218637
18,LUPIN,0.540201,0.5796,0.00214365
19,NTPC,0.530816,0.9186,0.00210641
20,TITAN,0.530646,0.9852,0.00210574
