Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIGREEN,2.132312,0.7602,0.00846156
2,IDEA,1.146745,1.3863,0.00455057
3,JINDALSTEL,0.805486,1.9127,0.00319637
4,TATACOMM,0.777253,0.7444,0.00308434
5,ESCORTS,0.775386,1.4536,0.00307693
6,IPCALAB,0.76393,0.3858,0.00303147
7,ISEC,0.75359,1.3129,0.00299044
8,COROMANDEL,0.70613,0.6625,0.0028021
9,TATACONSUM,0.657682,1.1151,0.00260985
10,HAL,0.656339,0.6496,0.00260452
11,DIVISLAB,0.60323,0.6436,0.00239377
12,ABBOTINDIA,0.579517,0.6563,0.00229967
13,BAYERCROP,0.57822,0.6751,0.00229452
14,JUBLPHARMA,0.573768,1.1223,0.00227686
15,APLLTD,0.558628,0.8343,0.00221678
16,MUTHOOTFIN,0.550946,1.2804,0.0021863
17,DRREDDY,0.533329,0.5047,0.00211639
18,ZYDUSLIFE,0.529597,0.5642,0.00210157
19,BBTC,0.515304,1.3632,0.00204486
20,AJANTPHARM,0.513454,0.6099,0.00203751
