Rank,Symbol,Alpha,Beta,AlphaDaily
1,JAICORPLTD,2.595749,0.4975,0.01030059
2,GOLDTECH,2.185284,0.6505,0.00867176
3,RNRL,1.486237,1.5215,0.00589777
4,JINDALSTEL,1.449296,1.3743,0.00575117
5,EDUCOMP,1.378786,1.1765,0.00547137
6,IFCI,1.352952,2.016,0.00536886
7,MPHASIS,1.188266,1.8223,0.00471534
8,ESSAROIL,1.158556,1.6646,0.00459745
9,ABAN,1.120251,0.8222,0.00444544
10,VEDL,0.878148,1.2075,0.00348471
11,JMFINANCIL,0.841563,0.7751,0.00333954
12,JPPOWER,0.754489,1.3472,0.002994
13,NLCINDIA,0.731177,1.5648,0.0029015
14,JSWSTEEL,0.659475,1.403,0.00261696
15,RELCAPITAL,0.620273,1.7468,0.0024614
16,ROLTA,0.616706,0.9819,0.00244725
17,SINTEX,0.592242,0.5678,0.00235017
18,MRPL,0.565871,1.4684,0.00224552
19,RELINFRA,0.558552,1.4821,0.00221648
20,KOTAKBANK,0.547113,1.3673,0.00217108
