Rank,Symbol,Alpha,Beta,AlphaDaily
1,WOCKPHARMA,0.928132,0.9665,0.00368307
2,BATAINDIA,0.911528,0.9949,0.00361718
3,JUBLFOOD,0.852524,1.0464,0.00338303
4,EICHERMOT,0.698105,0.5279,0.00277026
5,GODREJIND,0.612021,1.4125,0.00242866
6,MRF,0.579116,0.951,0.00229808
7,INDIABULLS,0.542966,1.2886,0.00215463
8,CRISIL,0.542931,0.3683,0.00215449
9,TMPV,0.496537,1.4149,0.00197039
10,APOLLOTYRE,0.494343,1.2728,0.00196168
11,BAJAJFINSV,0.492042,0.8546,0.00195255
12,HAVELLS,0.490733,1.0043,0.00194735
13,BRITANNIA,0.454094,0.3774,0.00180196
14,ULTRACEMCO,0.448836,0.6638,0.00178109
15,GFLLIMITED,0.434487,1.1959,0.00172415
16,GMDCLTD,0.421456,0.8847,0.00167244
17,KOTAKBANK,0.419904,1.0995,0.00166629
18,HINDUNILVR,0.419834,0.2337,0.00166601
19,SHREECEM,0.396961,0.3783,0.00157524
20,MFSL,0.395998,0.9685,0.00157142
