Rank,Symbol,Alpha,Beta,AlphaDaily
1,PEL,0.753931,0.5982,0.00299179
2,MUTHOOTFIN,0.733409,0.7973,0.00291035
3,BIOCON,0.66584,0.759,0.00264222
4,BAJFINANCE,0.649302,1.0324,0.00257659
5,BHARATFIN,0.618802,1.6489,0.00245556
6,CHOLAFIN,0.606483,0.4973,0.00240668
7,VAKRANGEE,0.591049,0.7505,0.00234543
8,RAMCOCEM,0.541674,0.7219,0.0021495
9,PETRONET,0.533902,0.9549,0.00211866
10,EDELWEISS,0.518947,1.5071,0.00205931
11,JSWSTEEL,0.517591,0.858,0.00205393
12,KAJARIACER,0.511919,0.6072,0.00203143
13,BAJAJFINSV,0.454499,0.7647,0.00180357
14,TRENT,0.432273,0.6456,0.00171537
15,HINDPETRO,0.426628,1.4315,0.00169297
16,BERGEPAINT,0.425526,0.7588,0.0016886
17,HINDALCO,0.425169,2.0264,0.00168718
18,HINDZINC,0.424724,1.036,0.00168541
19,IGL,0.394457,0.6927,0.00156531
20,MRPL,0.387613,1.2437,0.00153815
