Rank,Symbol,Alpha,Beta,AlphaDaily
1,JUBLFOOD,1.061193,0.8104,0.00421108
2,DHANI,0.954314,2.0672,0.00378696
3,LTM,0.745664,0.6694,0.00295899
4,HEXAWARE,0.62041,0.6741,0.00246194
5,MPHASIS,0.620389,0.2878,0.00246186
6,BIOCON,0.61978,1.0076,0.00245945
7,MINDTREE,0.609917,0.6789,0.00242031
8,TECHM,0.571444,0.1121,0.00226764
9,STRTECH,0.552227,1.6537,0.00219138
10,LTTS,0.544423,0.5611,0.00216041
11,DMART,0.513924,1.3549,0.00203938
12,TATACONSUM,0.494212,1.5716,0.00196116
13,JINDALSTEL,0.489123,2.4971,0.00194096
14,BRITANNIA,0.487244,0.5522,0.00193351
15,PAGEIND,0.475473,1.0156,0.0018868
16,TCS,0.472992,0.0611,0.00187695
17,TITAN,0.472959,1.0025,0.00187682
18,HONAUT,0.442612,0.6714,0.0017564
19,BHARATFIN,0.43541,0.7422,0.00172782
20,DBL,0.4285,1.464,0.0017004
