Rank,Symbol,Alpha,Beta,AlphaDaily
1,FRETAIL,1.131824,1.305,0.00449136
2,VAKRANGEE,0.84579,0.4468,0.00335631
3,MOTILALOFS,0.613202,1.6687,0.00243334
4,BALKRISIND,0.590872,0.7658,0.00234473
5,TVSMOTOR,0.524453,0.9211,0.00208116
6,EDELWEISS,0.480012,1.8429,0.00190481
7,VEDL,0.456619,1.6255,0.00181198
8,HINDPETRO,0.456352,1.4237,0.00181092
9,LTF,0.453073,1.8562,0.00179791
10,BAJAJFINSV,0.44164,1.2711,0.00175254
11,KRBL,0.436077,0.9728,0.00173047
12,MGL,0.428235,0.8401,0.00169934
13,RAJESHEXPO,0.402032,0.7029,0.00159537
14,IGL,0.392015,0.7867,0.00155561
15,MRF,0.373082,1.0613,0.00148049
16,RELIANCE,0.36265,0.4854,0.00143909
17,GODREJPROP,0.358331,1.0321,0.00142195
18,PCJEWELLER,0.357306,1.2303,0.00141788
19,MRPL,0.337981,1.5045,0.00134119
20,DHFL,0.337764,1.9934,0.00134033
