Rank,Symbol,Alpha,Beta,AlphaDaily
1,GOLDTECH,1.914203,0.8373,0.00759604
2,RNRL,1.047055,1.28,0.00415498
3,VEDL,1.044223,1.069,0.00414374
4,JINDALSTEL,0.927052,1.0926,0.00367878
5,GMRAIRPORT,0.847175,1.6923,0.0033618
6,ABAN,0.762991,0.9168,0.00302774
7,THERMAX,0.709422,0.8175,0.00281517
8,ROLTA,0.709242,1.1446,0.00281445
9,OPTOCIRCUI,0.679948,0.8709,0.00269821
10,KOTAKBANK,0.665256,1.2282,0.00263991
11,DIVISLAB,0.614491,1.4096,0.00243846
12,JSWSTEEL,0.577847,1.4038,0.00229305
13,TECHM,0.577161,1.0567,0.00229032
14,UNITDSPR,0.566645,1.2712,0.00224859
15,DCHL,0.563828,0.7003,0.00223741
16,GVPIL,0.553902,1.5807,0.00219802
17,SAIL,0.535583,1.4968,0.00212533
18,UNITECH,0.521,1.6979,0.00206746
19,GEODESIC,0.514805,0.8339,0.00204288
20,RELCAPITAL,0.510799,1.7475,0.00202698
