Rank,Symbol,Alpha,Beta,AlphaDaily
1,DHANI,0.987874,1.9276,0.00392014
2,LTM,0.984378,0.5974,0.00390626
3,LTTS,0.915568,0.697,0.00363321
4,MINDTREE,0.874911,0.6145,0.00347187
5,BIOCON,0.753423,1.0201,0.00298977
6,MPHASIS,0.70637,0.1709,0.00280306
7,JUBLFOOD,0.635518,0.7556,0.0025219
8,PAGEIND,0.617064,0.8515,0.00244867
9,UBL,0.60634,1.1352,0.00240611
10,PFIZER,0.597587,0.4017,0.00237138
11,TCS,0.580463,-0.0736,0.00230343
12,HEXAWARE,0.575234,0.5815,0.00228267
13,TECHM,0.530868,0.1715,0.00210662
14,INFY,0.509879,0.151,0.00202333
15,3MINDIA,0.506116,0.7591,0.0020084
16,JSWSTEEL,0.503086,1.3093,0.00199637
17,JINDALSTEL,0.50283,2.3303,0.00199536
18,SANOFI,0.476817,0.3195,0.00189213
19,RELIANCE,0.468164,0.6698,0.00185779
20,GSKCONS,0.412715,0.2276,0.00163776
