Rank,Symbol,Alpha,Beta,AlphaDaily
1,MOTILALOFS,0.882613,1.9258,0.00350243
2,BALKRISIND,0.846891,0.6059,0.00336068
3,VAKRANGEE,0.841781,0.3647,0.0033404
4,IIFL,0.741815,1.5644,0.00294371
5,MRF,0.57548,1.0843,0.00228365
6,NATCOPHARM,0.56549,0.5506,0.00224401
7,PEL,0.499994,1.1741,0.0019841
8,INDIANB,0.471551,2.0101,0.00187123
9,BAJAJFINSV,0.457704,1.1328,0.00181629
10,RECLTD,0.449221,1.5124,0.00178262
11,EDELWEISS,0.422838,2.1617,0.00167793
12,TVSMOTOR,0.421327,0.8477,0.00167193
13,SUNTV,0.420555,1.8094,0.00166887
14,VEDL,0.386583,1.8928,0.00153406
15,IGL,0.380487,0.7674,0.00150987
16,CROMPTON,0.361116,0.7534,0.001433
17,GODREJIND,0.360469,1.0079,0.00143043
18,IOC,0.358925,1.1948,0.00142431
19,DHFL,0.35719,1.9252,0.00141742
20,CUB,0.351813,0.7822,0.00139608
