Rank,Symbol,Alpha,Beta,AlphaDaily
1,RAJESHEXPO,1.247068,0.9674,0.00494868
2,VAKRANGEE,0.829886,1.5955,0.0032932
3,BAJFINANCE,0.637284,0.8473,0.0025289
4,ASHOKLEY,0.593399,1.3499,0.00235476
5,TORNTPOWER,0.481061,1.1087,0.00190897
6,SRF,0.461962,1.4534,0.00183318
7,TV18BRDCST,0.461002,1.3756,0.00182937
8,3MINDIA,0.439598,0.9859,0.00174444
9,HINDPETRO,0.437023,1.4604,0.00173422
10,RELINFRA,0.417999,1.7412,0.00165873
11,JSWSTEEL,0.416415,1.0382,0.00165244
12,PETRONET,0.401443,0.761,0.00159303
13,BHARATFIN,0.396784,1.4769,0.00157454
14,IGL,0.376568,0.6825,0.00149432
15,RAMCOCEM,0.364725,0.7846,0.00144732
16,APLLTD,0.349956,0.6777,0.00138871
17,MARICO,0.344979,0.6893,0.00136896
18,CHOLAFIN,0.330588,0.4015,0.00131186
19,TTKPRESTIG,0.329786,0.3591,0.00130868
20,KANSAINER,0.323875,0.8513,0.00128522
