Rank,Symbol,Alpha,Beta,AlphaDaily
1,BALKRISIND,0.731608,0.5133,0.00290321
2,BIOCON,0.676372,0.9174,0.00268402
3,VEDL,0.6698,2.3543,0.00265794
4,BAJAJFINSV,0.601156,1.092,0.00238554
5,INDIANB,0.559592,1.843,0.0022206
6,EDELWEISS,0.503583,2.0588,0.00199835
7,HINDPETRO,0.481927,1.4087,0.00191241
8,PEL,0.475449,0.8469,0.0018867
9,MUTHOOTFIN,0.46798,1.2391,0.00185706
10,NATCOPHARM,0.46762,0.6487,0.00185564
11,ALKEM,0.458787,0.2319,0.00182058
12,VAKRANGEE,0.448855,0.385,0.00178117
13,AIAENG,0.444566,0.4317,0.00176415
14,IGL,0.429773,0.7564,0.00170545
15,VTL,0.414203,0.6091,0.00164366
16,WHIRLPOOL,0.410642,0.7779,0.00162953
17,TRENT,0.389308,0.6937,0.00154487
18,IIFL,0.382601,1.3734,0.00151826
19,RECLTD,0.374077,1.5362,0.00148443
20,NATIONALUM,0.371583,1.4324,0.00147454
