Rank,Symbol,Alpha,Beta,AlphaDaily
1,VEDL,1.063485,3.129,0.00422018
2,INDIANB,0.76184,1.7169,0.00302317
3,HINDALCO,0.654162,1.854,0.00259588
4,HINDZINC,0.58997,1.0759,0.00234115
5,NATIONALUM,0.568302,1.3065,0.00225517
6,BIOCON,0.566785,0.8408,0.00224915
7,BALKRISIND,0.543794,0.4746,0.00215791
8,VAKRANGEE,0.541303,0.6117,0.00214803
9,JSWSTEEL,0.540464,0.9444,0.0021447
10,AIAENG,0.536435,0.2405,0.00212871
11,YESBANK,0.520658,1.3081,0.0020661
12,PEL,0.517019,0.8582,0.00205166
13,COROMANDEL,0.512341,0.9817,0.0020331
14,EDELWEISS,0.494161,1.8858,0.00196096
15,CUB,0.468921,0.6598,0.0018608
16,HINDPETRO,0.455045,1.461,0.00180573
17,TATASTEEL,0.444708,1.6217,0.00176471
18,UPL,0.426346,1.2529,0.00169185
19,CHOLAFIN,0.422351,0.5653,0.001676
20,JUBLPHARMA,0.409731,2.1366,0.00162591
