Rank,Symbol,Alpha,Beta,AlphaDaily
1,ATGL,1.464321,1.5057,0.0058108
2,TATAELXSI,1.177198,0.9356,0.00467142
3,ADANIENSOL,1.130381,1.3845,0.00448564
4,JSWENERGY,0.978706,1.1075,0.00388376
5,PERSISTENT,0.824975,0.9176,0.00327371
6,APOLLOHOSP,0.805577,0.6199,0.00319673
7,MINDTREE,0.789818,0.8059,0.0031342
8,LTTS,0.655238,0.787,0.00260015
9,LAURUSLABS,0.634897,1.2293,0.00251943
10,DEEPAKNTR,0.632748,1.482,0.0025109
11,ADANIGREEN,0.607057,0.9503,0.00240896
12,FORTIS,0.584078,0.4394,0.00231777
13,MPHASIS,0.568135,0.7751,0.0022545
14,INDIAMART,0.550226,0.9657,0.00218344
15,UNOMINDA,0.548999,0.999,0.00217857
16,TATASTEEL,0.548211,1.5169,0.00217544
17,GUJENERGY,0.546997,0.7362,0.00217062
18,LALPATHLAB,0.544741,0.4794,0.00216167
19,ASTRAL,0.542103,0.9656,0.0021512
20,DIXON,0.532159,1.005,0.00211174
