Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIENSOL,1.314808,1.5005,0.00521749
2,KRBL,0.80446,0.9365,0.0031923
3,VAKRANGEE,0.789736,0.4293,0.00313387
4,MOTILALOFS,0.611743,1.517,0.00242755
5,EDELWEISS,0.608435,1.6732,0.00241442
6,BALKRISIND,0.60785,0.6288,0.0024121
7,TITAN,0.493365,1.2016,0.0019578
8,RELIANCE,0.454132,0.5159,0.00180211
9,IGL,0.441923,0.7496,0.00175366
10,ENDURANCE,0.439044,0.7564,0.00174224
11,GODREJPROP,0.413515,1.1877,0.00164093
12,JINDALSTEL,0.410124,2.2019,0.00162747
13,RAJESHEXPO,0.39284,0.5176,0.00155889
14,TVSMOTOR,0.391019,0.8655,0.00155166
15,BHARTIARTL,0.377521,0.5799,0.0014981
16,HEXAWARE,0.353001,0.8711,0.0014008
17,COROMANDEL,0.343882,1.3438,0.00136461
18,NATCOPHARM,0.340575,0.942,0.00135149
19,LTM,0.33363,0.4645,0.00132393
20,GFLLIMITED,0.33263,1.0396,0.00131996
