Rank,Symbol,Alpha,Beta,AlphaDaily
1,GVT&D,0.784125,1.2767,0.00311161
2,POWERINDIA,0.666176,1.1737,0.00264356
3,ABCAPITAL,0.640378,1.2557,0.00254118
4,LTF,0.605554,1.2459,0.00240299
5,ASHOKLEY,0.540301,0.9933,0.00214405
6,AUBANK,0.53639,0.6019,0.00212853
7,INDIANB,0.511716,1.0589,0.00203062
8,SHRIRAMFIN,0.503859,1.2689,0.00199944
9,MFSL,0.487787,0.5972,0.00193566
10,CUMMINSIND,0.441501,0.971,0.00175199
11,NAM-INDIA,0.440153,1.507,0.00174664
12,CANBK,0.433837,1.1581,0.00172157
13,EICHERMOT,0.432925,0.6999,0.00171796
14,NATIONALUM,0.430533,1.5229,0.00170846
15,BEL,0.413618,1.0461,0.00164134
16,SBIN,0.409554,0.7849,0.00162522
17,UNIONBANK,0.402505,1.3512,0.00159724
18,FEDERALBNK,0.397614,0.6845,0.00157783
19,APLAPOLLO,0.377093,0.9687,0.0014964
20,BANKINDIA,0.364869,1.3628,0.00144789
