Rank,Symbol,Alpha,Beta,AlphaDaily
1,SUPREMEIND,0.765066,0.7502,0.00303597
2,INDIANB,0.682459,1.5506,0.00270817
3,RECLTD,0.671394,1.4052,0.00266426
4,IRFC,0.669306,1.3948,0.00265598
5,UNIONBANK,0.66593,2.0018,0.00264258
6,PFC,0.636667,1.4699,0.00252645
7,POLYCAB,0.563687,1.0157,0.00223685
8,CGPOWER,0.497576,0.7664,0.00197451
9,ZYDUSLIFE,0.482616,0.7085,0.00191514
10,VBL,0.462093,1.1854,0.0018337
11,IDFCFIRSTB,0.450392,1.7207,0.00178727
12,HAL,0.42404,1.2529,0.0016827
13,BHEL,0.421598,1.7879,0.00167301
14,PNB,0.416509,1.874,0.00165281
15,LUPIN,0.404485,0.7441,0.0016051
16,BANKINDIA,0.397094,1.9217,0.00157577
17,APOLLOTYRE,0.381354,1.2718,0.00151331
18,OIL,0.37699,0.5988,0.00149599
19,ESCORTS,0.364726,1.1237,0.00144732
20,SUNDRMFAST,0.353385,0.566,0.00140232
