Rank,Symbol,Alpha,Beta,AlphaDaily
1,SUZLON,0.971056,1.1506,0.0038534
2,TRENT,0.932685,0.8517,0.00370113
3,OIL,0.813462,1.2165,0.00322802
4,RVNL,0.781432,2.0841,0.00310092
5,KALYANKJIL,0.754853,0.6667,0.00299545
6,BSE,0.744571,1.1971,0.00295465
7,ETERNAL,0.737797,0.8575,0.00292776
8,OFSS,0.625553,1.0072,0.00248235
9,TORNTPOWER,0.595039,1.0294,0.00236126
10,BAJAJ-AUTO,0.589003,0.5354,0.00233731
11,PRESTIGE,0.584617,1.441,0.00231991
12,POLICYBZR,0.562505,0.8389,0.00223216
13,IRFC,0.542442,2.1704,0.00215255
14,DIXON,0.477985,1.3723,0.00189676
15,SOLARINDS,0.474415,1.1255,0.0018826
16,GLAXO,0.469292,0.7161,0.00186227
17,AJANTPHARM,0.448867,0.3309,0.00178122
18,LUPIN,0.440688,0.5305,0.00174876
19,TVSMOTOR,0.429292,0.7217,0.00170354
20,COLPAL,0.409098,0.4026,0.0016234
