Rank,Symbol,Alpha,Beta,AlphaDaily
1,FRETAIL,1.183005,1.3155,0.00469446
2,MOTILALOFS,0.763091,1.6579,0.00302814
3,VAKRANGEE,0.716734,0.4314,0.00284418
4,BALKRISIND,0.636221,0.7736,0.00252469
5,EDELWEISS,0.590215,1.8644,0.00234212
6,KRBL,0.552822,0.9798,0.00219374
7,IGL,0.548306,0.8368,0.00217582
8,TVSMOTOR,0.519155,0.8564,0.00206014
9,VEDL,0.494867,1.5885,0.00196376
10,GODREJPROP,0.487326,1.0983,0.00193383
11,LTF,0.487316,1.8819,0.00193379
12,MGL,0.460584,0.8129,0.00182771
13,RAJESHEXPO,0.45879,0.662,0.0018206
14,HONAUT,0.445806,0.6472,0.00176907
15,COROMANDEL,0.394002,1.3348,0.0015635
16,RBLBANK,0.370715,1.131,0.00147109
17,NATIONALUM,0.370566,1.5195,0.0014705
18,TATASTEEL,0.367385,1.4223,0.00145788
19,DHFL,0.358255,2.0418,0.00142165
20,QUESS,0.321079,0.7055,0.00127412
