Rank,Symbol,Alpha,Beta,AlphaDaily
1,DISHTV,0.851571,1.3087,0.00337925
2,CHAMBLFERT,0.740318,1.4297,0.00293777
3,WOCKPHARMA,0.65876,1.0444,0.00261413
4,TITAN,0.656467,1.1475,0.00260503
5,PETRONET,0.622029,0.7724,0.00246837
6,GMDCLTD,0.577225,1.148,0.00229057
7,INDIABULLS,0.520801,1.4126,0.00206667
8,IGL,0.51678,0.5366,0.00205072
9,M&M,0.481845,1.0521,0.00191208
10,IDEA,0.467803,0.5521,0.00185636
11,TCS,0.422832,0.8465,0.00167791
12,CRISIL,0.422051,0.3647,0.00167481
13,RNAVAL,0.421546,1.0255,0.0016728
14,INDUSINDBK,0.403407,1.2969,0.00160082
15,RCF,0.402544,1.5151,0.0015974
16,LUPIN,0.402455,0.7856,0.00159705
17,MFSL,0.379751,0.9241,0.00150695
18,GODREJIND,0.374819,1.5751,0.00148738
19,ABIRLANUVO,0.364877,0.9475,0.00144793
20,ITC,0.361829,0.5793,0.00143583
