Rank,Symbol,Alpha,Beta,AlphaDaily
1,RCOM,1.302968,2.3076,0.00517051
2,UNITDSPR,1.22112,1.0229,0.00484571
3,IDEA,0.801334,0.6545,0.0031799
4,HCLTECH,0.69814,0.2644,0.0027704
5,AUROPHARMA,0.682836,1.4374,0.00270967
6,SUNPHARMA,0.65772,0.5203,0.00261
7,M&MFIN,0.629647,1.1352,0.0024986
8,EICHERMOT,0.601836,0.7224,0.00238824
9,MOTHERSON,0.588285,0.5787,0.00233447
10,LTF,0.581471,1.4105,0.00230742
11,IPCALAB,0.580622,0.4211,0.00230406
12,UBL,0.580425,1.1185,0.00230327
13,BERGEPAINT,0.576253,0.6403,0.00228672
14,BRITANNIA,0.568095,0.4877,0.00225435
15,GSKCONS,0.554748,0.8142,0.00220138
16,AMARAJABAT,0.54437,0.669,0.0021602
17,ABIRLANUVO,0.535148,1.1911,0.0021236
18,BLUEDART,0.516037,0.4098,0.00204777
19,EMAMILTD,0.483952,0.6175,0.00192044
20,DRREDDY,0.45706,0.4708,0.00181373
