Rank,Symbol,Alpha,Beta,AlphaDaily
1,AUROPHARMA,1.385707,0.4803,0.00549884
2,APLLTD,1.04274,0.3925,0.00413786
3,EICHERMOT,1.018152,0.402,0.00404029
4,CYIENT,0.990345,0.0556,0.00392994
5,PERSISTENT,0.908375,0.0573,0.00360466
6,AIAENG,0.902884,0.4345,0.00358287
7,NAUKRI,0.869261,0.5268,0.00344945
8,MINDTREE,0.850544,0.0658,0.00337517
9,MOTHERSON,0.846313,0.5495,0.00335838
10,ARVIND,0.842686,1.1149,0.00334399
11,BHARATFORG,0.757818,0.9125,0.00300721
12,PAGEIND,0.736874,-0.1183,0.0029241
13,HINDPETRO,0.728809,3.3098,0.0028921
14,ZFCVINDIA,0.677735,0.3725,0.00268943
15,GFLLIMITED,0.649441,0.7902,0.00257715
16,SUNDARMFIN,0.648875,0.5088,0.0025749
17,GUJENERGY,0.625512,0.7011,0.00248219
18,ECLERX,0.597548,0.0094,0.00237122
19,ZYDUSLIFE,0.597419,0.1904,0.00237071
20,TECHM,0.582215,0.1609,0.00231038
