Rank,Symbol,Alpha,Beta,AlphaDaily
1,AUROPHARMA,1.207334,1.1162,0.00479101
2,PAGEIND,0.730826,0.051,0.0029001
3,RCOM,0.723503,1.9795,0.00287104
4,EICHERMOT,0.705411,0.6372,0.00279925
5,VOLTAS,0.657131,1.2777,0.00260766
6,APOLLOTYRE,0.616101,0.9661,0.00244484
7,HCLTECH,0.61422,0.1942,0.00243738
8,MOTHERSON,0.606595,0.7067,0.00240712
9,BHARATFORG,0.599217,0.9297,0.00237784
10,NAUKRI,0.589888,0.2773,0.00234083
11,TECHM,0.564865,0.1726,0.00224153
12,CESC,0.559688,0.8207,0.00222099
13,HEXAWARE,0.545272,0.4583,0.00216378
14,AIAENG,0.522134,0.4794,0.00207196
15,MRF,0.51623,0.9769,0.00204853
16,IPCALAB,0.481365,0.1925,0.00191018
17,TORNTPHARM,0.457101,0.176,0.00181389
18,CGPOWER,0.442016,1.4728,0.00175403
19,MINDTREE,0.437771,0.22,0.00173719
20,BRITANNIA,0.415621,0.4864,0.00164929
