Rank,Symbol,Alpha,Beta,AlphaDaily
1,VEDL,1.633315,2.0744,0.00648141
2,VOLTAS,1.09978,0.7272,0.0043642
3,63MOONS,1.012532,0.7494,0.00401798
4,OPTOCIRCUI,0.991539,0.7912,0.00393468
5,BAJAJHIND,0.828216,1.4229,0.00328657
6,GODREJIND,0.734146,1.0584,0.00291328
7,SHREECEM,0.682197,0.9539,0.00270713
8,GFLLIMITED,0.614758,1.0027,0.00243952
9,ABAN,0.590741,1.101,0.00234421
10,GODREJCP,0.585783,0.5481,0.00232454
11,THERMAX,0.574223,0.8517,0.00227866
12,ULTRACEMCO,0.52878,1.0233,0.00209833
13,RADICO,0.518904,0.9369,0.00205914
14,M&M,0.51853,0.7907,0.00205766
15,RAMCOCEM,0.508079,1.1074,0.00201619
16,SIEMENS,0.495297,1.2287,0.00196546
17,DABUR,0.492038,1.0995,0.00195253
18,LMW,0.491228,0.7176,0.00194932
19,ACC,0.489638,0.8595,0.00194301
20,DRREDDY,0.474028,0.6283,0.00188106
