Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIENSOL,1.409533,1.5362,0.00559338
2,FRETAIL,0.946201,1.2579,0.00375477
3,KRBL,0.791976,0.8949,0.00314276
4,VAKRANGEE,0.740293,0.4738,0.00293767
5,MOTILALOFS,0.545366,1.5802,0.00216415
6,EDELWEISS,0.49309,1.6777,0.0019567
7,RELIANCE,0.483985,0.5077,0.00192058
8,IGL,0.474359,0.7684,0.00188238
9,ENDURANCE,0.444765,0.7766,0.00176494
10,TVSMOTOR,0.405742,0.8402,0.00161009
11,GODREJPROP,0.398921,1.153,0.00158302
12,BHARTIARTL,0.388555,0.495,0.00154188
13,RAJESHEXPO,0.369248,0.5517,0.00146527
14,GFLLIMITED,0.358867,1.078,0.00142408
15,JINDALSTEL,0.350581,2.2291,0.0013912
16,COROMANDEL,0.349135,1.388,0.00138546
17,SOLARINDS,0.340796,0.6052,0.00135237
18,NATCOPHARM,0.33774,0.9889,0.00134024
19,NATIONALUM,0.333001,1.5969,0.00132143
20,HINDALCO,0.331741,1.367,0.00131643
