Rank,Symbol,Alpha,Beta,AlphaDaily
1,EXIDEIND,3.841512,2.1416,0.0152441
2,UNITECH,3.021906,0.5166,0.01199169
3,VOLTAS,0.863312,0.7919,0.00342584
4,OPTOCIRCUI,0.830797,0.751,0.00329681
5,GODREJIND,0.795142,1.1104,0.00315532
6,ABAN,0.715346,1.0833,0.00283867
7,VEDL,0.633741,2.0287,0.00251484
8,SHREECEM,0.621119,0.9664,0.00246476
9,SIEMENS,0.588925,1.2449,0.002337
10,THERMAX,0.588616,0.9196,0.00233578
11,RAMCOCEM,0.561511,1.103,0.00222822
12,ASTRAZEN,0.534935,0.8755,0.00212276
13,DRREDDY,0.500004,0.6566,0.00198414
14,BHEL,0.477292,1.0754,0.00189401
15,ACC,0.46437,0.8811,0.00184274
16,MARICO,0.441115,0.8512,0.00175045
17,CIPLA,0.438493,0.7932,0.00174005
18,AUROPHARMA,0.425099,0.8572,0.0016869
19,CGPOWER,0.413301,0.9066,0.00164008
20,ABB,0.402299,0.8601,0.00159643
