Rank,Symbol,Alpha,Beta,AlphaDaily
1,ATGL,1.134062,1.2657,0.00450025
2,ADANIENSOL,1.08787,1.0676,0.00431694
3,FLUOROCHEM,0.982077,1.3818,0.00389713
4,CGPOWER,0.97801,0.9192,0.00388099
5,TTML,0.975022,1.0815,0.00386914
6,ADANIGREEN,0.847557,0.9755,0.00336332
7,TRIDENT,0.816758,1.0769,0.0032411
8,SCHAEFFLER,0.790188,0.639,0.00313567
9,LINDEINDIA,0.712537,0.7807,0.00282753
10,TATAELXSI,0.655329,1.011,0.00260051
11,TIINDIA,0.644211,0.7702,0.00255639
12,VBL,0.591826,0.6985,0.00234852
13,TATAPOWER,0.579786,1.7907,0.00230074
14,SOLARINDS,0.559482,0.7946,0.00222017
15,LODHA,0.549086,1.8049,0.00217891
16,INDHOTEL,0.541828,1.3913,0.00215011
17,UNOMINDA,0.509839,0.9996,0.00202317
18,HAL,0.455219,0.9834,0.00180642
19,SONACOMS,0.439529,1.4194,0.00174416
20,PHOENIXLTD,0.422864,0.9365,0.00167803
