Rank,Symbol,Alpha,Beta,AlphaDaily
1,UNITECH,2.342318,0.8212,0.00929491
2,OPTOCIRCUI,0.852969,0.7732,0.0033848
3,GLENMARK,0.789906,1.0864,0.00313455
4,VEDL,0.787563,1.8202,0.00312525
5,STLTECH,0.769594,1.6839,0.00305395
6,ABAN,0.736197,1.0976,0.00292142
7,HTMEDIA,0.689343,0.5395,0.00273549
8,BHARTIARTL,0.656418,0.7967,0.00260483
9,ZEEL,0.653246,0.7802,0.00259225
10,DIVISLAB,0.591192,1.25,0.002346
11,KOTAKBANK,0.560648,1.1058,0.00222479
12,GODREJIND,0.535731,1.131,0.00212592
13,DCHL,0.533902,1.0076,0.00211866
14,KTKBANK,0.532243,1.2817,0.00211208
15,RELIANCE,0.524041,0.9445,0.00207953
16,EXIDEIND,0.504127,0.6505,0.00200051
17,JSWSTEEL,0.503482,1.1811,0.00199794
18,OFSS,0.498748,0.9667,0.00197916
19,POLARIS,0.473625,1.5593,0.00187946
20,SAIL,0.437302,1.5287,0.00173532
