Rank,Symbol,Alpha,Beta,AlphaDaily
1,COROMANDEL,1.020011,0.6714,0.00404766
2,UBL,0.951106,0.7688,0.00377423
3,M&MFIN,0.825711,0.9005,0.00327663
4,TITAN,0.81063,0.6781,0.00321679
5,JETAIRWAYS,0.751759,1.1332,0.00298317
6,ZYDUSLIFE,0.699471,0.3467,0.00277568
7,TORNTPHARM,0.648482,0.543,0.00257334
8,CASTROLIND,0.634007,0.5092,0.0025159
9,PIDILITIND,0.628165,0.5173,0.00249272
10,CUMMINSIND,0.614895,0.3855,0.00244006
11,IGL,0.581756,0.4857,0.00230855
12,EMAMILTD,0.578336,0.7894,0.00229498
13,BAJAJ-AUTO,0.575891,0.6777,0.00228528
14,ASIANPAINT,0.563228,0.45,0.00223503
15,LUPIN,0.549562,0.3975,0.0021808
16,NFL,0.548031,1.3828,0.00217473
17,ENGINERSIN,0.547441,0.7178,0.00217239
18,INDUSINDBK,0.519442,1.4053,0.00206128
19,GODREJCP,0.508524,0.3068,0.00201795
20,UCOBANK,0.498592,1.4243,0.00197854
