Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIPOWER,0.845445,2.7253,0.00335494
2,BATAINDIA,0.716606,0.9143,0.00284367
3,BAJFINANCE,0.630912,1.2714,0.00250362
4,ABFRL,0.504233,0.6696,0.00200093
5,MUTHOOTFIN,0.499399,1.2692,0.00198174
6,DIVISLAB,0.498424,0.9779,0.00197787
7,PFIZER,0.497743,0.5794,0.00197517
8,TORNTPHARM,0.467964,0.6538,0.001857
9,HAVELLS,0.4672,1.1966,0.00185397
10,NAUKRI,0.457254,0.5288,0.0018145
11,AXISBANK,0.431774,0.924,0.00171339
12,RELIANCE,0.429434,0.7313,0.0017041
13,PFC,0.416862,1.6922,0.00165422
14,UBL,0.406549,0.9151,0.00161329
15,AARTIIND,0.404815,0.7738,0.00160641
16,RBLBANK,0.404457,1.1044,0.00160499
17,HONAUT,0.401941,0.6278,0.001595
18,ICICIGI,0.389083,0.6509,0.00154398
19,VBL,0.387713,0.3793,0.00153854
20,DHANI,0.386241,1.89,0.0015327
