Rank,Symbol,Alpha,Beta,AlphaDaily
1,WELSPUNIND,1.056121,0.783,0.00419096
2,ZYDUSLIFE,1.034203,0.2773,0.00410398
3,AUROPHARMA,0.992927,0.8461,0.00394018
4,STLTECH,0.987354,1.094,0.00391807
5,PATNI,0.890686,0.8077,0.00353447
6,VEDL,0.844839,1.3786,0.00335254
7,ENGINERSIN,0.83337,0.8951,0.00330702
8,PGHH,0.819183,0.3361,0.00325073
9,THERMAX,0.787755,0.7837,0.00312601
10,MRF,0.782091,0.8242,0.00310353
11,BAJAJ-AUTO,0.750677,0.5987,0.00297888
12,DRREDDY,0.724123,0.4443,0.0028735
13,LUPIN,0.717711,0.2818,0.00284806
14,MPHASIS,0.717069,0.6471,0.00284551
15,SHREECEM,0.695498,0.6994,0.00275991
16,APOLLOTYRE,0.692485,0.9401,0.00274796
17,ASIANPAINT,0.677005,0.3552,0.00268653
18,JINDALSAW,0.673498,1.3347,0.00267261
19,GODREJCP,0.669341,0.2497,0.00265611
20,CENTRALBK,0.658217,1.1317,0.00261197
