Rank,Symbol,Alpha,Beta,AlphaDaily
1,AAVAS,0.823663,0.6374,0.0032685
2,HDFCAMC,0.751302,0.865,0.00298136
3,MANAPPURAM,0.724206,1.3906,0.00287383
4,PIIND,0.600323,0.4728,0.00238224
5,ABBOTINDIA,0.562606,0.5642,0.00223256
6,PRESTIGE,0.552956,0.8694,0.00219427
7,GUJENERGY,0.54906,0.7116,0.00217881
8,RELAXO,0.548677,0.5763,0.00217729
9,WHIRLPOOL,0.543895,0.7621,0.00215831
10,BAJFINANCE,0.541884,1.324,0.00215033
11,SBILIFE,0.537029,0.5101,0.00213107
12,NAUKRI,0.536206,0.5429,0.0021278
13,ISEC,0.523964,1.2142,0.00207922
14,IGL,0.497057,0.7231,0.00197245
15,ATGL,0.493819,1.1157,0.0019596
16,HDFCLIFE,0.489097,0.5928,0.00194086
17,ICICIGI,0.478896,0.5749,0.00190038
18,ADANIENSOL,0.469681,0.8118,0.00186381
19,MUTHOOTFIN,0.468123,1.2779,0.00185763
20,BERGEPAINT,0.467989,0.9262,0.0018571
