Rank,Symbol,Alpha,Beta,AlphaDaily
1,WOCKPHARMA,1.13986,0.9308,0.00452325
2,AJANTPHARM,0.958745,0.5234,0.00380455
3,ZFCVINDIA,0.857397,0.5265,0.00340237
4,GILLETTE,0.797179,0.3594,0.00316341
5,SPARC,0.793619,1.0684,0.00314928
6,TVSMOTOR,0.778557,1.0498,0.00308951
7,EICHERMOT,0.769678,0.727,0.00305428
8,GPPL,0.762054,0.9231,0.00302403
9,BRITANNIA,0.759192,0.4408,0.00301267
10,EMAMILTD,0.757882,0.2442,0.00300747
11,PAGEIND,0.751537,0.2094,0.00298229
12,BEL,0.724573,1.1852,0.00287529
13,SUNDARMFIN,0.711643,0.4975,0.00282398
14,PGHH,0.709428,0.3744,0.00281519
15,GVT&D,0.695695,0.8052,0.00276069
16,AUROPHARMA,0.694158,0.5993,0.00275459
17,BHARATFORG,0.688626,1.1064,0.00273264
18,BOSCHLTD,0.685874,0.75,0.00272172
19,PIIND,0.674917,0.6701,0.00267824
20,AIAENG,0.665694,0.4272,0.00264164
