Rank,Symbol,Alpha,Beta,AlphaDaily
1,GVT&D,0.925291,1.2627,0.00367179
2,MCX,0.862577,1.4122,0.00342293
3,NATIONALUM,0.809638,1.2019,0.00321285
4,POWERINDIA,0.78463,1.0877,0.00311361
5,APARINDS,0.647916,1.2274,0.0025711
6,AUBANK,0.544878,0.9265,0.00216221
7,LAURUSLABS,0.522203,1.1011,0.00207223
8,BSE,0.51035,1.5806,0.0020252
9,ADANIPOWER,0.498863,1.1388,0.00197962
10,ABCAPITAL,0.497028,1.4602,0.00197233
11,LTF,0.494633,1.3901,0.00196283
12,INDIANB,0.493304,1.1974,0.00195756
13,VEDL,0.445787,1.1183,0.001769
14,CUMMINSIND,0.417109,1.0087,0.00165519
15,ASHOKLEY,0.405998,1.2629,0.0016111
16,NAM-INDIA,0.372234,1.6029,0.00147712
17,MUTHOOTFIN,0.369448,0.9081,0.00146606
18,KEI,0.364325,1.2231,0.00144573
19,TVSMOTOR,0.345495,1.0315,0.00137101
20,BEL,0.344367,0.9573,0.00136654
