Rank,Symbol,Alpha,Beta,AlphaDaily
1,JAICORPLTD,1.969644,0.6277,0.00781605
2,RNRL,1.302584,2.0599,0.00516898
3,JINDALSTEL,1.291539,1.7431,0.00512515
4,ESSAROIL,1.170238,2.2326,0.0046438
5,EDUCOMP,1.154551,1.4752,0.00458155
6,GOLDTECH,1.064615,0.5191,0.00422466
7,RELINFRA,0.692178,1.7291,0.00274674
8,VEDL,0.684082,1.2644,0.00271461
9,NATIONALUM,0.608343,0.6806,0.00241406
10,NLCINDIA,0.594429,2.045,0.00235885
11,HUBTOWN,0.576836,0.9921,0.00228903
12,TATAPOWER,0.536545,1.3606,0.00212915
13,DIVISLAB,0.53598,1.0734,0.00212691
14,ABAN,0.502511,0.9625,0.00199409
15,BANKINDIA,0.499208,1.1616,0.00198098
16,UNITDSPR,0.498895,1.0422,0.00197974
17,INDIANB,0.496101,1.0993,0.00196865
18,VOLTAS,0.492235,1.2312,0.00195331
19,MRPL,0.490705,1.8361,0.00194724
20,PUNJLLOYD,0.487065,1.2941,0.0019328
