Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIENSOL,0.988101,1.5408,0.00392104
2,JUBLFOOD,0.68797,0.8892,0.00273004
3,DMART,0.65878,1.1179,0.00261421
4,TITAN,0.643675,1.001,0.00255427
5,LTM,0.633478,0.7714,0.0025138
6,HEXAWARE,0.581846,0.6515,0.00230891
7,ENDURANCE,0.502369,0.5665,0.00199353
8,3MINDIA,0.495431,0.8802,0.001966
9,MINDTREE,0.488822,0.641,0.00193977
10,GRUH,0.480106,0.4866,0.00190518
11,GODREJPROP,0.456226,1.215,0.00181042
12,LTTS,0.45418,0.5166,0.0018023
13,VBL,0.452924,0.7164,0.00179732
14,PHOENIXLTD,0.446372,0.524,0.00177132
15,EDELWEISS,0.432234,1.4498,0.00171521
16,DIVISLAB,0.429058,1.1936,0.00170261
17,GILLETTE,0.407161,0.514,0.00161572
18,COROMANDEL,0.392003,1.1117,0.00155557
19,ASHOKLEY,0.381262,1.1279,0.00151294
20,TATACONSUM,0.374636,1.7112,0.00148665
