Rank,Symbol,Alpha,Beta,AlphaDaily
1,ADANIPOWER,1.384,2.8513,0.00549206
2,NAUKRI,0.744993,0.5312,0.00295632
3,PFC,0.675775,1.6126,0.00268165
4,BAJFINANCE,0.635573,1.2477,0.00252211
5,MUTHOOTFIN,0.631477,1.3763,0.00250586
6,BATAINDIA,0.630154,0.7109,0.00250061
7,SRF,0.594895,1.1334,0.00236069
8,ADANIENSOL,0.563991,1.4009,0.00223806
9,RECLTD,0.542156,1.3516,0.00215141
10,AXISBANK,0.520535,0.9893,0.00206562
11,ICICIGI,0.518523,0.6794,0.00205763
12,ICICIBANK,0.487323,1.1946,0.00193382
13,ABFRL,0.47962,0.8262,0.00190325
14,PIIND,0.46895,0.5217,0.00186091
15,TITAN,0.467915,0.6805,0.00185681
16,DIVISLAB,0.467615,0.9036,0.00185561
17,HAVELLS,0.456047,1.0094,0.00180971
18,GODREJPROP,0.451589,1.3078,0.00179202
19,BAJAJFINSV,0.451472,1.1618,0.00179155
20,ATUL,0.436207,0.4866,0.00173098
