Rank,Symbol,Alpha,Beta,AlphaDaily
1,ATGL,1.678923,1.4763,0.00666239
2,ADANIENSOL,1.285101,1.3415,0.00509961
3,LAURUSLABS,1.181607,1.2711,0.00468892
4,PERSISTENT,1.067047,0.7896,0.00423431
5,TATAELXSI,1.002069,0.8664,0.00397646
6,DIXON,0.918465,1.0101,0.0036447
7,TIINDIA,0.815566,0.7476,0.00323637
8,ADANIGREEN,0.787466,1.0227,0.00312487
9,TATACOMM,0.776721,0.6079,0.00308223
10,INDIAMART,0.728169,0.9493,0.00288956
11,EMAMILTD,0.723483,0.6006,0.00287096
12,JSWSTEEL,0.721535,1.1484,0.00286323
13,ASTRAL,0.637545,0.9014,0.00252994
14,SAIL,0.62924,1.6716,0.00249698
15,WIPRO,0.618503,0.6859,0.00245438
16,COFORGE,0.58189,0.9667,0.00230909
17,DALBHARAT,0.557297,1.1385,0.0022115
18,MINDTREE,0.545076,0.805,0.002163
19,MPHASIS,0.540894,0.6495,0.0021464
20,DEEPAKNTR,0.540726,1.3948,0.00214574
