Rank,Symbol,Momentum
1,SUZLON,0.621212
2,WOCKPHARMA,0.605609
3,FORTIS,0.441799
4,GILLETTE,0.412024
5,KSCL,0.40981
6,HEXAWARE,0.39991
7,SIEMENS,0.307725
8,LUPIN,0.289871
9,PIIND,0.241277
10,SPARC,0.229273
11,MRPL,0.227788
12,STAR,0.206592
13,BHARATFORG,0.203311
14,ECLERX,0.199619
15,SUPREMEIND,0.197615
16,PAGEIND,0.194084
17,UPL,0.191813
18,RAJESHEXPO,0.173466
19,RNAVAL,0.168563
20,HCLTECH,0.16048
