Rank,Symbol,Momentum
1,APOLLOTYRE,0.277209
2,BAJAJFINSV,0.244503
3,INDUSINDBK,0.182105
4,GODREJPROP,0.174536
5,SIEMENS,0.173977
6,COROMANDEL,0.158132
7,FORTIS,0.157773
8,KOTAKBANK,0.155621
9,IOB,0.154178
10,AMTEKAUTO,0.148106
11,63MOONS,0.14518
12,OPTOCIRCUI,0.138063
13,MOTHERSON,0.131798
14,YESBANK,0.130615
15,M&MFIN,0.11558
16,SYNDIBANK,0.112338
17,LICHSGFIN,0.108678
18,GMDCLTD,0.107966
19,HDFCBANK,0.104418
20,SHREECEM,0.097333
