Rank,Symbol,Momentum
1,YESBANK,0.404172
2,ABBOTINDIA,0.042173
3,IPCALAB,0.034507
4,PIDILITIND,0.021877
5,AJANTPHARM,0.008094
6,DIVISLAB,8e-05
7,PFIZER,-6.2e-05
8,DMART,-0.045729
9,SANOFI,-0.057136
10,ALKEM,-0.075949
11,ZYDUSLIFE,-0.083846
12,HONAUT,-0.093409
13,ZFCVINDIA,-0.099128
14,HINDUNILVR,-0.105624
15,ATUL,-0.112959
16,ASIANPAINT,-0.115726
17,COROMANDEL,-0.115806
18,TORNTPHARM,-0.122788
19,CASTROLIND,-0.124433
20,TORNTPOWER,-0.126631
