Rank,Symbol,Momentum,Volatility,Score
1,SHREECEM,0.563809,0.024487,23.025
2,BAJAJ-AUTO,0.75813,0.033331,22.7457
3,HEROMOTOCO,0.377186,0.016708,22.5749
4,RECLTD,0.590232,0.027038,21.8294
5,MATRIXLABS,1.214565,0.055967,21.7015
6,MARUTI,0.504797,0.026331,19.1714
7,OFSS,0.741928,0.040467,18.334
8,ULTRACEMCO,0.551224,0.031449,17.5277
9,BAJAJFINSV,0.573816,0.034369,16.6955
10,DABUR,0.22244,0.013734,16.1964
11,GRASIM,0.483595,0.030214,16.0056
12,GUJENERGY,0.3625,0.025486,14.2232
13,ASHOKLEY,0.402985,0.030411,13.2514
14,NLCINDIA,0.511811,0.041905,12.2136
15,GMRAIRPORT,0.503782,0.044538,11.3113
16,HINDZINC,0.392075,0.035111,11.1668
17,CIPLA,0.211485,0.020482,10.3252
18,BALRAMCHIN,0.425824,0.041913,10.1597
19,MPHASIS,0.287874,0.028432,10.125
20,COLPAL,0.170191,0.016828,10.1137
