Rank,Symbol,Momentum,Volatility,Score
1,BAJAJHIND,3.594318,0.055519,64.7402
2,AUROPHARMA,2.056742,0.03601,57.1161
3,PANACEABIO,1.594805,0.029972,53.2098
4,WELSPUNIND,2.408397,0.046647,51.6301
5,BAJAJFINSV,1.599556,0.032189,49.6926
6,JAICORPLTD,2.631445,0.053015,49.6362
7,KPIL,2.130538,0.043435,49.0516
8,63MOONS,2.073533,0.047145,43.9817
9,LICHSGFIN,1.81901,0.043261,42.0471
10,VOLTAS,2.311565,0.056048,41.2425
11,THERMAX,1.584358,0.039397,40.2153
12,JPASSOCIAT,2.108333,0.053942,39.0849
13,SOBHA,1.780685,0.046799,38.0499
14,BBTC,1.447807,0.038139,37.9614
15,JSWSTEEL,2.361849,0.06315,37.4004
16,JPPOWER,2.154265,0.060342,35.7007
17,GOLDTECH,1.43,0.040463,35.3408
18,NCC,1.921569,0.055506,34.6189
19,JINDALSTEL,1.400499,0.040825,34.3049
20,TECHM,2.039011,0.05946,34.2919
