Rank,Symbol,Momentum,Volatility,Score
1,ADANIGREEN,0.40735,0.028863,14.1132
2,HINDALCO,0.161692,0.021541,7.5062
3,ESCORTS,0.101823,0.014832,6.8653
4,SCHAEFFLER,0.117311,0.022948,5.112
5,NATIONALUM,0.122745,0.02948,4.1636
6,LINDEINDIA,0.077526,0.023565,3.2899
7,BAJAJHLDNG,0.042236,0.018969,2.2266
8,ADANIENSOL,0.042281,0.025542,1.6554
9,NAVINFLUOR,0.043773,0.027434,1.5956
10,SUNPHARMA,0.024798,0.016327,1.5188
11,SRF,0.037169,0.025664,1.4483
12,BANKBARODA,0.03876,0.028078,1.3804
13,RAJESHEXPO,0.050812,0.037329,1.3612
14,AAVAS,0.037294,0.028178,1.3235
15,POWERGRID,0.018657,0.01782,1.047
16,MARUTI,0.01985,0.020993,0.9456
17,LAURUSLABS,0.019023,0.023662,0.804
18,BIOCON,0.012996,0.021714,0.5985
19,VEDL,0.016994,0.03092,0.5496
20,AXISBANK,0.005715,0.019361,0.2952
