Rank,Symbol,Volatility
1,ADANIENT,0.001677
2,ERAINFRA,0.004286
3,PGHH,0.01037
4,SJVN,0.01054
5,BOSCHLTD,0.010598
6,BAJAJHLDNG,0.01089
7,KSK,0.011231
8,GLAXO,0.011563
9,ASIANPAINT,0.012142
10,TORNTPHARM,0.012257
11,GODREJCP,0.012882
12,CORPBANK,0.013007
13,OBEROIRLTY,0.013036
14,OIL,0.013089
15,NHPC,0.013184
16,ACC,0.013253
17,BRITANNIA,0.013347
18,DIVISLAB,0.013433
19,HINDUNILVR,0.013445
20,GILLETTE,0.014017
