Rank,Symbol,Volatility
1,GILLETTE,0.008583
2,SKFINDIA,0.011136
3,SANOFI,0.011223
4,ALKEM,0.011442
5,HDFCBANK,0.011711
6,PGHH,0.01206
7,GODREJAGRO,0.012966
8,IDBI,0.013012
9,POWERGRID,0.013397
10,HDFCLIFE,0.013526
11,MGL,0.013533
12,NTPC,0.01383
13,GSPL,0.01402
14,ITC,0.014234
15,RAJESHEXPO,0.01441
16,MRF,0.014412
17,LT,0.014553
18,CHOLAHLDNG,0.014576
19,SYNGENE,0.015316
20,GSKCONS,0.015636
