Rank,Symbol,Volatility
1,ADANIENT,0.002997
2,ABBOTINDIA,0.009322
3,SANOFI,0.010594
4,DABUR,0.01128
5,GILLETTE,0.011439
6,COLPAL,0.011888
7,ZYDUSWELL,0.012052
8,INFY,0.012182
9,GLAXO,0.012289
10,SCHAEFFLER,0.012556
11,PGHH,0.012584
12,NESTLEIND,0.012721
13,BRITANNIA,0.013072
14,TCS,0.013167
15,SKFINDIA,0.013212
16,BIOCON,0.013289
17,HDFCLIFE,0.013336
18,UNITDSPR,0.013408
19,SUPREMEIND,0.013502
20,BAYERCROP,0.013503
